n,count,M,NM,SUM,DIST,UNI,tau1,IMIN,IMAX,ISUM,IDIST,MSUM,MMAX,m0,m1
1,1,1,1,1,1,0,1,2,2,2,1,0,0,1,0
2,1,1,1,1,1,0,1,3,3,3,1,1,1,0,1
3,2,1,2,2,1,0,2,5,5,10,1,0,0,2,0
4,5,4,1,8,2,1,4,7,9,40,3,5,2,1,3
5,12,4,1,15,2,1,11,12,17,162,4,0,0,12,0
6,35,15,1,70,3,7,27,17,26,753,8,27,3,12,20
7,108,16,1,228,4,21,83,29,43,3798,14,0,0,108,0
8,369,56,2,1053,6,91,255,41,77,21030,26,264,5,158,170
9,1285,192,1,4267,8,339,847,63,145,119424,45,0,0,1285,0
10,4655,209,3,19368,13,1360,2829,99,225,702997,89,2896,8,2428,1728
11,17073,712,1,86008,18,5255,9734,155,370,4197836,155,0,0,17073,0
12,63600,2415,1,405110,27,20510,33724,227,659,25435079,288,35679,13,37776,18878
13,238591,2656,2,1876813,42,79235,118245,373,1237,155276651,502,0,0,238591,0
PASS: A000105 and A131482 through n=13; A213376/A213377 through k=6; literal subset/edge checks for every shape through n=8.
